SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
,,,,BNB-USD,BNB-USD,BNB-USD,BNB-USD,BNB-USD,
1,Binance Coin,BNB,2020-01-01,13.873946189880371,13.65494155883789,13.730961799621582,13.689083099365234,172980718,2367947423.2898636
2,Binance Coin,BNB,2020-01-02,13.715547561645508,12.989974021911621,13.698125839233398,13.027010917663574,156376427,2037117421.794221
3,Binance Coin,BNB,2020-01-03,13.76370906829834,13.012638092041016,13.03532886505127,13.660451889038086,173683857,2372599972.451071
4,Binance Coin,BNB,2020-01-04,13.921914100646973,13.56000804901123,13.667442321777344,13.891511917114258,182230374,2531455412.081188
5,Binance Coin,BNB,2020-01-05,14.41080093383789,13.886547088623047,13.88833999633789,14.111019134521484,202552703,2858225067.7820473
6,Binance Coin,BNB,2020-01-06,15.003564834594727,14.11124038696289,14.11124038696289,14.957807540893555,224800409,3362521252.9361553
7,Binance Coin,BNB,2020-01-07,15.135274887084961,14.568403244018555,14.966209411621094,15.009249687194824,191948560,2881003864.137497
8,Binance Coin,BNB,2020-01-08,15.242218971252441,14.33795166015625,15.022263526916504,14.602933883666992,183632222,2681569196.7768593
9,Binance Coin,BNB,2020-01-09,14.611088752746582,14.305362701416016,14.589201927185059,14.498313903808594,169699829,2460361390.264641
10,Binance Coin,BNB,2020-01-10,15.027688980102539,14.182085037231445,14.478408813476562,15.025826454162598,200173072,3007765840.6685944
11,Binance Coin,BNB,2020-01-11,15.250237464904785,14.779474258422852,15.020984649658203,14.946328163146973,201663503,3014128894.367774
12,Binance Coin,BNB,2020-01-12,15.472108840942383,14.869891166687012,14.94620132446289,15.322083473205566,231150158,3541702015.7206554
13,Binance Coin,BNB,2020-01-13,15.355386734008789,14.991215705871582,15.322260856628418,15.227272033691406,211785744,3224919136.7457275
14,Binance Coin,BNB,2020-01-14,16.790660858154297,15.194400787353516,15.215287208557129,16.626121520996094,299316969,4976480299.890221
15,Binance Coin,BNB,2020-01-15,18.096269607543945,16.39442253112793,16.603866577148438,17.65481185913086,380806616,6723069160.192291
16,Binance Coin,BNB,2020-01-16,17.66079330444336,16.439847946166992,17.64640235900879,17.076946258544922,260423404,4447236474.575333
17,Binance Coin,BNB,2020-01-17,18.361831665039062,17.088930130004883,17.1127986907959,18.13519859313965,347229168,6297069919.010651
18,Binance Coin,BNB,2020-01-18,18.31447982788086,17.555156707763672,18.12964630126953,17.82391929626465,257317647,4586408973.632715
